subject_uri,subject_name,nodeid,browseName,label,synonyms,entity_types
https://saref.etsi.org/core/StateValue,StateValue,<None>,<None>,State_Value,<None>,http://www.w3.org/2002/07/owl/Class
https://saref.etsi.org/saref4ener/ContractualPowerLimit,ContractualPowerLimit,<None>,<None>,Contractual_Power_Limit,<None>,http://www.w3.org/2002/07/owl/Class
https://saref.etsi.org/saref4ener/DemandDrivenProfile,DemandDrivenProfile,<None>,<None>,Demand_driven_control,<None>,http://www.w3.org/2002/07/owl/Class
https://saref.etsi.org/saref4ener/FailsafePowerLimit,FailsafePowerLimit,<None>,<None>,Failsafe_Power_Limit,<None>,http://www.w3.org/2002/07/owl/Class
https://saref.etsi.org/saref4ener/Incentive,Incentive,<None>,<None>,Incentive,<None>,http://www.w3.org/2002/07/owl/Class
https://saref.etsi.org/saref4ener/LeakageBehaviourElement,LeakageBehaviourElement,<None>,<None>,Leakage_behaviour_element,<None>,http://www.w3.org/2002/07/owl/Class
https://saref.etsi.org/saref4ener/NominalPowerLimit,NominalPowerLimit,<None>,<None>,Nominal_Power_Limit,<None>,http://www.w3.org/2002/07/owl/Class
https://saref.etsi.org/saref4ener/PowerConstraint,PowerConstraint,<None>,<None>,Power_constraint,<None>,http://www.w3.org/2002/07/owl/Class
https://saref.etsi.org/saref4ener/PowerEnvelope,PowerEnvelope,<None>,<None>,Power_Envelope,<None>,http://www.w3.org/2002/07/owl/Class
https://saref.etsi.org/saref4ener/PowerEnvelopeConsequenceType,PowerEnvelopeConsequenceType,<None>,<None>,Power_Envelope_Consequence_Type,<None>,http://www.w3.org/2002/07/owl/Class
https://saref.etsi.org/saref4ener/PowerEnvelopeLimitType,PowerEnvelopeLimitType,<None>,<None>,Power_Envelope_Limit_Type,<None>,http://www.w3.org/2002/07/owl/Class
https://saref.etsi.org/saref4ener/PowerEnvelopeProfile,PowerEnvelopeProfile,<None>,<None>,Power_envelope_control,<None>,http://www.w3.org/2002/07/owl/Class
https://saref.etsi.org/saref4ener/PowerProfile,PowerProfile,<None>,<None>,Power_profile_control,<None>,http://www.w3.org/2002/07/owl/Class
https://saref.etsi.org/saref4ener/Role,Role,<None>,<None>,Role,<None>,http://www.w3.org/2002/07/owl/Class
https://saref.etsi.org/saref4ener/Slot,Slot,<None>,<None>,Slot,<None>,http://www.w3.org/2002/07/owl/Class
https://saref.etsi.org/saref4inma/Batch,Batch,<None>,<None>,Batch,<None>,http://www.w3.org/2002/07/owl/Class
https://w3id.org/saref/Device,Device,<None>,<None>,Device,<None>,http://www.w3.org/2002/07/owl/Class
https://saref.etsi.org/saref4ener/IncentiveTableProfile,IncentiveTableProfile,<None>,<None>,Incentive_table_based_profile,<None>,http://www.w3.org/2002/07/owl/Class
https://saref.etsi.org/saref4ener/InterruptionInstruction,InterruptionInstruction,<None>,<None>,Interruption_Instruction,<None>,http://www.w3.org/2002/07/owl/Class
https://saref.etsi.org/saref4ener/PowerLimitProfile,PowerLimitProfile,<None>,<None>,Power_limit_profile,<None>,http://www.w3.org/2002/07/owl/Class
https://saref.etsi.org/saref4ener/RoleType,RoleType,<None>,<None>,Role_Type,<None>,http://www.w3.org/2002/07/owl/Class
https://saref.etsi.org/saref4ener/ScopeType,ScopeType,<None>,<None>,Scope_Type,<None>,http://www.w3.org/2002/07/owl/Class
https://saref.etsi.org/saref4ener/Timer,Timer,<None>,<None>,Timer,<None>,http://www.w3.org/2002/07/owl/Class
https://saref.etsi.org/saref4ener/ValueSource,ValueSource,<None>,<None>,Value_source,<None>,http://www.w3.org/2002/07/owl/Class
https://saref.etsi.org/saref4ener/ValueTendency,ValueTendency,<None>,<None>,Value_tendency,<None>,http://www.w3.org/2002/07/owl/Class
https://saref.etsi.org/saref4inma/ProductionEquipment,ProductionEquipment,<None>,<None>,ProductionEquipment,<None>,http://www.w3.org/2002/07/owl/Class
https://w3id.org/saref/Property,Property,<None>,<None>,Property,<None>,http://www.w3.org/2002/07/owl/Class
http://xmlns.com/foaf/0.1/Agent,Agent,<None>,<None>,Agent,<None>,http://www.w3.org/2002/07/owl/Class
https://saref.etsi.org/saref4ener/EnergyConstraint,EnergyConstraint,<None>,<None>,Energy_Constraint,<None>,http://www.w3.org/2002/07/owl/Class
https://saref.etsi.org/saref4ener/IncentiveType,IncentiveType,<None>,<None>,Incentive_Type,<None>,http://www.w3.org/2002/07/owl/Class
https://saref.etsi.org/saref4ener/OperationModeElement,OperationModeElement,<None>,<None>,Operation_Mode_Element,<None>,http://www.w3.org/2002/07/owl/Class
https://saref.etsi.org/saref4ener/PPBCInstruction,PPBCInstruction,<None>,<None>,Power_Profile_Based_Control_Instruction,<None>,http://www.w3.org/2002/07/owl/Class
https://saref.etsi.org/saref4ener/PowerSequenceContainer,PowerSequenceContainer,<None>,<None>,Power_profile_container,<None>,http://www.w3.org/2002/07/owl/Class
https://saref.etsi.org/saref4ener/PowerSource,PowerSource,<None>,<None>,Power_source,<None>,http://www.w3.org/2002/07/owl/Class
https://saref.etsi.org/saref4ener/PowerSequenceStatus,PowerSequenceStatus,<None>,<None>,Power_sequence_status,<None>,http://www.w3.org/2002/07/owl/Class
https://saref.etsi.org/saref4ener/Storage,Storage,<None>,<None>,Storage,<None>,http://www.w3.org/2002/07/owl/Class
https://saref.etsi.org/core/Operation,Operation,<None>,<None>,Operation,<None>,http://www.w3.org/2002/07/owl/Class
https://saref.etsi.org/saref4ener/EventStateConsume,EventStateConsume,<None>,<None>,Event_state_consume,<None>,http://www.w3.org/2002/07/owl/Class
https://saref.etsi.org/saref4ener/EventStateProduce,EventStateProduce,<None>,<None>,Event_state_produce,<None>,http://www.w3.org/2002/07/owl/Class
https://saref.etsi.org/saref4ener/Transition,Transition,<None>,<None>,Transition,<None>,http://www.w3.org/2002/07/owl/Class
https://saref.etsi.org/saref4ener/EventActionConsume,EventActionConsume,<None>,<None>,Event_action_consume,<None>,http://www.w3.org/2002/07/owl/Class
https://saref.etsi.org/saref4ener/EventActionProduce,EventActionProduce,<None>,<None>,Event_action_produce,<None>,http://www.w3.org/2002/07/owl/Class
https://saref.etsi.org/saref4ener/FlexibilityProfile,FlexibilityProfile,<None>,<None>,Flexibility_Profile,<None>,http://www.w3.org/2002/07/owl/Class
https://saref.etsi.org/saref4ener/InstructionStatus,InstructionStatus,<None>,<None>,Instruction_Status,<None>,http://www.w3.org/2002/07/owl/Class
https://saref.etsi.org/core/PropertyOfInterest,PropertyOfInterest,<None>,<None>,Property_of_Interest,<None>,http://www.w3.org/2002/07/owl/Class
https://saref.etsi.org/saref4ener/FlexibilityInstruction,FlexibilityInstruction,<None>,<None>,Flexibility_Instruction,<None>,http://www.w3.org/2002/07/owl/Class
https://saref.etsi.org/saref4ener/NumberRange,NumberRange,<None>,<None>,Number_range,<None>,http://www.w3.org/2002/07/owl/Class
https://saref.etsi.org/saref4ener/PowerSequenceState,PowerSequenceState,<None>,<None>,Power_sequence_state,<None>,http://www.w3.org/2002/07/owl/Class
https://saref.etsi.org/saref4ener/TimeSeries,TimeSeries,<None>,<None>,Time_Series,<None>,http://www.w3.org/2002/07/owl/Class
https://saref.etsi.org/core/Actuator,Actuator,<None>,<None>,Actuator,<None>,http://www.w3.org/2002/07/owl/Class
https://saref.etsi.org/core/StateOfInterest,StateOfInterest,<None>,<None>,State_of_Interest,<None>,http://www.w3.org/2002/07/owl/Class
https://saref.etsi.org/saref4ener/PowerLimit,PowerLimit,<None>,<None>,Power_Limit,<None>,http://www.w3.org/2002/07/owl/Class
https://saref.etsi.org/saref4ener/DataPoint,DataPoint,<None>,<None>,Data_point,<None>,http://www.w3.org/2002/07/owl/Class
https://saref.etsi.org/saref4inma/ID,ID,<None>,<None>,Identifier,<None>,http://www.w3.org/2002/07/owl/Class
https://saref.etsi.org/core/FunctionOfInterest,FunctionOfInterest,<None>,<None>,Function_of_Interest,<None>,http://www.w3.org/2002/07/owl/Class
https://saref.etsi.org/core/Property,Property,<None>,<None>,Property,<None>,http://www.w3.org/2002/07/owl/Class
https://saref.etsi.org/saref4ener/OperationMode,OperationMode,<None>,<None>,Operation_Mode,<None>,http://www.w3.org/2002/07/owl/Class
https://saref.etsi.org/saref4ener/PowerSequence,PowerSequence,<None>,<None>,Power_sequence,<None>,http://www.w3.org/2002/07/owl/Class
https://saref.etsi.org/core/CommandOfInterest,CommandOfInterest,<None>,<None>,Command_Of_Interest,<None>,http://www.w3.org/2002/07/owl/Class
https://saref.etsi.org/core/DeviceKind,DeviceKind,<None>,<None>,Device_kinds,<None>,http://www.w3.org/2002/07/owl/Class
https://saref.etsi.org/core/ProcedureExecution,ProcedureExecution,<None>,<None>,Procedure_Execution,<None>,http://www.w3.org/2002/07/owl/Class
https://saref.etsi.org/saref4ener/Usage,Usage,<None>,<None>,Usage,<None>,http://www.w3.org/2002/07/owl/Class
https://saref.etsi.org/core/PropertyValue,PropertyValue,<None>,<None>,Property_Value,<None>,http://www.w3.org/2002/07/owl/Class
https://saref.etsi.org/core/FeatureKind,FeatureKind,<None>,<None>,Feature_kinds,<None>,http://www.w3.org/2002/07/owl/Class
https://saref.etsi.org/core/FeatureOfInterest,FeatureOfInterest,<None>,<None>,Feature_of_interest,<None>,http://www.w3.org/2002/07/owl/Class
https://saref.etsi.org/core/hasApplicableTime,hasApplicableTime,<None>,<None>,has_applicable_time,<None>,http://www.w3.org/2002/07/owl/ObjectProperty
https://saref.etsi.org/core/hasDeviceKind,hasDeviceKind,<None>,<None>,has_device_kind,<None>,http://www.w3.org/2002/07/owl/ObjectProperty
https://saref.etsi.org/core/hasInput,hasInput,<None>,<None>,has_input,<None>,http://www.w3.org/2002/07/owl/ObjectProperty
https://saref.etsi.org/core/hasOptionalCommand,hasOptionalCommand,<None>,<None>,has_optional_command,<None>,http://www.w3.org/2002/07/owl/ObjectProperty
https://saref.etsi.org/core/hasOutput,hasOutput,<None>,<None>,has_output,<None>,http://www.w3.org/2002/07/owl/ObjectProperty
https://saref.etsi.org/core/hasPhenomenonTime,hasPhenomenonTime,<None>,<None>,has_phenomenon_time,<None>,http://www.w3.org/2002/07/owl/ObjectProperty
https://saref.etsi.org/core/hasPrice,hasPrice,<None>,<None>,hasPrice,<None>,http://www.w3.org/2002/07/owl/ObjectProperty
https://saref.etsi.org/core/hasResult,hasResult,<None>,<None>,has_result,<None>,http://www.w3.org/2002/07/owl/ObjectProperty
https://saref.etsi.org/core/isCommandOfInterestOf,isCommandOfInterestOf,<None>,<None>,is_command_of_interest_of,<None>,http://www.w3.org/2002/07/owl/FunctionalProperty; http://www.w3.org/2002/07/owl/ObjectProperty
https://saref.etsi.org/core/isFunctionOf,isFunctionOf,<None>,<None>,is_function_of,<None>,http://www.w3.org/2002/07/owl/ObjectProperty
https://saref.etsi.org/core/isOfferedBy,isOfferedBy,<None>,<None>,is_offered_by,<None>,http://www.w3.org/2002/07/owl/FunctionalProperty; http://www.w3.org/2002/07/owl/ObjectProperty
https://saref.etsi.org/core/isProfileOf,isProfileOf,<None>,<None>,is_profile_of,<None>,http://www.w3.org/2002/07/owl/ObjectProperty
https://saref.etsi.org/core/isStateOf,isStateOf,<None>,<None>,is_state_of,<None>,http://www.w3.org/2002/07/owl/ObjectProperty
https://saref.etsi.org/core/profileHasPrice,profileHasPrice,<None>,<None>,has_price,<None>,http://www.w3.org/2002/07/owl/ObjectProperty
https://saref.etsi.org/core/whenPropertyValue,whenPropertyValue,<None>,<None>,when_property_value,<None>,http://www.w3.org/2002/07/owl/ObjectProperty
https://saref.etsi.org/core/whenState,whenState,<None>,<None>,when_state,<None>,http://www.w3.org/2002/07/owl/ObjectProperty
https://saref.etsi.org/saref4ener/allowedLimitRange,allowedLimitRange,<None>,<None>,allowed_limit_range,<None>,http://www.w3.org/2002/07/owl/ObjectProperty
https://saref.etsi.org/saref4ener/belongsTo,belongsTo,<None>,<None>,belongs_to,<None>,http://www.w3.org/2002/07/owl/ObjectProperty
https://saref.etsi.org/saref4ener/belongsToTimeSeries,belongsToTimeSeries,<None>,<None>,belongs_to_time_series,<None>,http://www.w3.org/2002/07/owl/ObjectProperty
https://saref.etsi.org/saref4ener/endOfRange,endOfRange,<None>,<None>,end_of_range,<None>,http://www.w3.org/2002/07/owl/ObjectProperty
https://saref.etsi.org/saref4ener/fillRate,fillRate,<None>,<None>,Fill_Rate_Level,<None>,http://www.w3.org/2002/07/owl/ObjectProperty
